,date,employeeType,position,work_location,Location,summary,pro,con,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,reviewLink
11,20-Feb-21,Former Employee,Field Expert,"Tempe, AZ",W,"""Micromanage""","4 day work week.
Choose your own schedule.","The company changes the way things operate so frequently. 
The recruiters give the impression that the “expert “ position is just a deliver and set up service. Well that’s wrong, management and corporate want it as a hard sales job, coming up with goals that are not attainable unless you do so shady sales. Even when you know someone isn’t doing something right and voice your opinion to management their response is “ well, we haven’t gotten any complaints from the customers, so they must be doing something right, be more like them” 
The systems trainings are an absolute joke, they give you a 5 min video to watch with no audio and no way to actually click proper buttons to understand what new system is being rolled out. 
Onboard training is 10hr long zoom calls, the facilitators treat you like you’re in 1st grade again and shove so much at you, by hour 3 you’re just fried and can’t retain any info anymore.",2,3,4,2,5,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW42808625.htm
12,23-Apr-21,Former Employee,Mobile Retail Expert,"Elk Grove, CA",W,"""Good benefits, pay is decent, stress can be high, sales environment""","4 day work week with normal overtime, pay isnt bad, commission opportunity","sales is shoved down your throat, and determines if you keep your job",4,3,5,2,4,3,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW45970399.htm
13,26-Jan-21,Current Employee,Sales Expert,"Charlotte, NC",SE,"""Better than Fast Food....But Not a Real Career""","-Get to drive around all day and not be in a store environment.
-No one cares what you do as long as your hitting sales goals 
- Young fun team of 20-30 somethings
- 17$ hr starting out","-You have 90 days to hit your sales numbers or your out.
-Sales goals rise each quarter so you could go from star employee to low performer because of how often they raise the minimum goal
-I've had many crashes or flat tires and management cares more about the inventory than your safety. 
- My coworker got COVID and the first thing she was asked was when she could get back to work
- Commission is WAY lower than just working in a retail store and the volume of customers is less (we see about 4-9 people a day so even if you upset them. all your not going to make more than 250 for commission, then factor in taxes and you take home $100.)
- There is no upward mobility. If you start as an expert you will remain there unless you kiss up. My coworker took a pay cut from being a store manager to this job and they wouldn't promote him because he didn't have leadership experience with Enjoy....

Long story short, know what your getting into.",3,3,5,1,1,3,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW41432411.htm
14,30-Mar-21,Former Employee,Field Expert,"Wilsonville, OR",MW,"""Looks good on paper. In reality it’s a hot mess""",4x10 day work week. Decent health insurance. Charismatic co-founder.,"They don’t practice what they preach. At all. No matter what they tell you in a job posting or interview. This is an AT&T sales job where you drive for long distances between customers. You must make your quotas or you’re fired. The only things that matter to sell are AT&T insurance and adding new lines of service.. Lots and lots of turnover. Whoever hires the field office managers needs to be fired. The managers are NOT there to support field staff in any way. No matter how they sweet talk you. They aren’t there to help you improve. That’s the most significant problem. Constantly inept managers. Why would the company leaders let this poor decision making continue? Well. They most likely are poor leaders as well. So the cycle keeps repeating. Finally, the paid time off SUCKS for field staff. 10 days a year. That includes all sick time and vacation and personal days.",2,2,1,1,2,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW44808199.htm
15,12-Apr-21,Current Employee,Expert,None,,"""A company deceiving customers and employees""",Employs well spirited and engaging people making for a good team to work with.,"Is entirely a sales role, was positioned as a service provider role, throughout all recruitment and training was positioned as providing service. Within a month of starting KPI’s introduced and now the role is entirely sales focused with no commission and the constant fear of performance review and potential dismissal. Every conversation is around sales and performance, expected to sell 2 out of 6 visits per day.  

Deceives it’s customer base as is also positioned to them as a service with BT or EE when is actually sending someone to sell products into peoples homes under the guise of providing a service.",1,1,1,1,2,2,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW45369234.htm
16,16-Apr-21,Former Employee,Expert,"Chicago, IL",MW,"""Decent Flexible Job""","Pretty flexible schedule.
Drive a company car for deliveries.
Independent work style.
Great co-workers","Pay is just ok. Not enough for what you do.
Unrealistic expectation to sell extras during your deliveries. 
Can be dangerous - Getting robbed",3,4,4,3,2,4,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW45621565.htm
17,19-Apr-21,Current Employee,Lead Expert,None,,"""Enjoy expert""","Best job yet!
Very Young atmosphere",Non i can think of,5,5,5,5,5,3,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW45741948.htm
18,30-Mar-21,Current Employee,Field Expert,"Dallas, TX",MW,"""3/5""","-10 hour shifts
-You’re by yourself all day
-Meet new people 
-Discover new places
-The pay","-Micromanaging 
-You HAVE to meet numbers
-You work in all kinds of weather",3,2,5,3,5,3,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW44768560.htm
19,8-Mar-21,Current Employee,Field Expert,"Chelmsford, England, England",UK,"""Exciting, inclusive and extremely rewarding company to work for.""","The most positive and inclusive culture I’ve ever been involved with.

Great remuneration packages on offer.

Company incentives.

Great opportunities for progression NOT dependent on tenure!! 

The most thorough and elite level recruitment team.

Great leadership from Top to bottom.

A passionate CEO 

Inspiring coaches in Dan and Geoff. 

The list is endless.",A blistering rate of change (due to being a startup). This requires all employees to be adaptable and pivot with new challenges.  For me this is a pro but understandably this is a Con for others,5,3,5,5,4,4,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW43663647.htm
20,25-Apr-21,Current Employee,Expert,None,,"""If Uber eats brought you a Big Mac meal, and then tried to hard sell/trick you into Supersizing your meal.""","There aren’t any it’s a drain on your everyday life, purely here because need healthcare.",The title explains the jobs perfectly.,1,1,1,1,1,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW46029089.htm
21,12-Jan-21,Former Employee,Expert,"Los Angeles, CA",W,"""Great company, however....""","Nice team, encouraging managers, upward mobility.","Upon joining the company my expectations were that I was essentially a mobile retail associate similar to my past experience at apple. They lead you to believe that you got to someones home, present the product, set it up and give a great experience. What they leave out until AFTER TRAINING is that you are a glorified ATT insurance sales man/rep with out commission. The main problem is that inorder to use the service Enjoy provides you must purchase something and then the expert delivers it to you, THEN they want you to upsale insurance & accessories. It seems easy but why would someone order something online and then wait to buy the same cases/insurance that are online till they get the phone. Furthermore WHY would a sales rep want to force Insurance and a case/accessories on a customer when they get little/no commission. Silly. Especially since you will get fired for not meeting sales goals.",3,3,5,4,2,5,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW40566635.htm
22,4-Apr-21,Current Employee,Field Expert,"Sheffield, England, England",UK,"""Not a support role""","4 Day Week
Good Pay
Left alone to do the job","Long Days
Little support from management
High sales targets and threatened with dismissal if you don't reach them after being sold the job as tech support, not sales.",4,None,5,4,2,5,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW44990923.htm
23,31-Mar-21,Current Employee,Team Captain,"Elkridge, MD",E,"""Great place to learn what you can handle.""",There will be room to grow. Great people work here. Close contact with founder. Sometimes you will feel heard.,Management can seem unreasonable with unrealistic goals. They live in a “realm of possibility”. Sometimes you will feel ignored.,3,3,4,3,3,3,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW44867881.htm
24,6-Apr-21,Current Employee,Mobile Expert,None,,"""Great company""",Great place to work - good environment,No cons at all- wish more companies were like this one,5,5,None,None,None,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW45115308.htm
25,23-Mar-21,Current Employee,Field Expert,"Manchester, England, England",UK,"""Too much sales""","4 day working week
Pension
Overtime
Pay is good","Work most weekends
Very heavily sales driven even though it was sold to staff as a service job",3,3,3,1,3,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW44421581.htm
26,31-Oct-20,Current Employee,Expert,"Orlando, FL",E,"""A good company starting to go wrong""","1. Decent pay for the area and starting. 
2. Benefits are really good! 
3. You get to pick your own schedule which is nice. 
4. Coworkers are amazing. 
5. Being able to explore your city in a fleet car is nice! 
6. Bring a tech person, it is nice that I can connect with customers and teach them about their new device or service.","1. In my market, bad management. Although we did get a new manager, the person above said manager is a jerk and very petty. 
2. Went from customer service and pro expert to sales and money. 
3. good luck getting a management position. They hardly ever hire within. 
4. Micromanaging is horrible. To the point they have untrained managers (never done a field role) going into visits with you and running the visit, then saying you could have done better. 
4. Company never sticks to what they say. 
5. Good luck getting back in time, almost mandatory overtime. 
6. You do get lunch, but most of your lunch and break is spent driving to find somewhere to relax. 

Keep in mind that down markets have much better management. But don't let them lie to you, it's sales.",3,4,3,3,4,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW37850587.htm
27,15-Jan-21,Current Employee,Anonymous Employee,"Palo Alto, CA",W,"""Growing pains, but Enjoy is finding its way...""",Great people and culture; it's exciting to be a part of a new way of retail. Our experts are the backbone of this company and they are incredibly resilient. Strong leadership team and some incredibly talented individuals on a lot of the teams. A lot of opportunities to build and create new processes and procedures. Ron is easily one of the kindest leaders I've ever encountered.,"A lot of manual work because we don't have proper systems/tools in place due to resource constraints. People that joined in the early years (especially those coming from Apple) have been awarded a lot of career mobility and growth opportunities, and that's no longer the case with anyone who has joined in the last 2-3 years. Poor performance management with HQ team members; takes a very long time to let go of individuals who are not performing.",4,4,5,3,4,3,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW40781800.htm
28,22-Feb-21,Former Employee,Field Expert,"Denver, CO",MW,"""Worst experience of my life""",I can't say there was much good that came from this company,"I waited a while to review this experience to make sure I had a clear mind to form an objective opinion. This was honestly the worst experience of my life.

Let's just say that they were not supportive of people that had children  or health concerns. They also would tell boldfaced lies about anything to accomplish whatever goals they wanted to achieve. There was a severe problem with toxic positivity, and real issues were swept under the rug a lot. Our manager was gone a lot to ""fix"" problems with other locations around the US that were having the same issues we were having, and in the end our whole team was left behind. I personally was thrown under the bus for something my manager did. We were also advised to do some shady things just to keep up with sales numbers with AT&T. 

Long story short, it took me a while to recover from working with this company. I'm glad that they changed the role name to indicates sales involvement... at least a thread of honesty shows there.",1,3,1,2,2,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW42915806.htm
29,7-Apr-21,Former Employee,Expert,"Sevenoaks, England, England",UK,"""Great Temp Job - no stress from sales as there is no commission.""",Great 4-5 month job when they need sales people in Xmas months. No commission so targets are only pretend.,Hard Sales of Insurance. No time for toilets. Need for a qualified human resources team. Safety is not a priority especially during covid. Cross County deliveries and visits over a number of counties.,2,3,1,1,3,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW45193026.htm
30,10-Apr-21,Current Employee,Field Expert/Mobile Retail,"Fort Worth, TX",MW,"""you can do better""","the people, pick your work days, there isn't really any pros to this job except that you'll have a job...","long driving from a system thats broken but have been using for 2 years now and hasn't been fixed, extremely high pressure to sell sell sell! if you don't sell your metrics will be low and you'll be fired.",2,5,4,1,3,2,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW45312869.htm
31,11-Mar-21,Former Employee,Expert,"London, England, England",UK,"""Phone shop on wheels""","What I signed up for:
- A job helping people set up their tech products for the new smart home
- Routing system which will find you local jobs only 20 minutes away
- Start-up tech company with career opportunity and progression

Why I stayed:
- 4 days instead of 5","What I got instead:
- Delivering and setting up phones. Telecoms rewiring. Installing broadband routers. *Then all of a sudden* I became a salesman peddling insurance with sales targets!
- Driving long distances 45-60 mins in zig-zags, rather than one well planned linear route!
- The illusion of opportunity, disorganised by the worst recruitment team ever. As a result; zero progression!
- Retail culture instead of tech culture!

Why I left:
- Broken promises
- Removal of breaks
- Unsupportive HR
- Lack of privacy in vans
- Toxic workplace

DON’T even get me started on Covid! Their management of that was poor. Beware of this place...",1,2,1,1,2,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW43827327.htm
32,26-Mar-21,Current Employee,Fulfillment Associate,"Burlingame, CA",W,"""Several people’s jobs worth of work""","Overtime, Friendly work environment, Small team",Pay and amount of responsibility do not match,4,2,5,3,5,4,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW44639981.htm
33,6-Nov-20,Former Employee,Fulfillment Lead,"Memphis, TN",SE,"""Great initially, betrayal in the end.""",5 day work week. Free snacks,"This serpent den is full of liars, incompetent leadership, lacks integrity alot of double talk, racism",2,3,1,1,2,2,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW38075790.htm
34,15-Apr-21,Former Employee,Customer Service Expert,None,,"""False advertisement""","Four day weeks

Good team

Nothing else","Shift bidding - somehow the same people do no weekends

Pay - not enough for what is asked, especially considering it’s highly sales driven with no commission.

Lack of support 

No progression unless you’re willing to relocate

Clear favouritism",1,1,1,1,2,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW45543863.htm
35,25-Mar-21,Former Employee,Expert,None,,"""Not what I expected""","You can make your own schedule
3 days off
Good health benefits","Micromanaging, they track every move. 
Long drive times
lack of support from market leadership",3,None,1,1,2,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW44575267.htm
36,2-Apr-21,Former Employee,General Manager,None,,"""Don't do it!""",Some of the people did work hard and believe in the mission.,"Cult like mentality is the only thing that helps you be successful here. Most of the senior leaders (Coaches) were all from Lulu Lemon and knew each other outside of Enjoy; because of that, they protected each other and created a culture of just telling people to ""get it done"" instead of providing a strategy. When they do get questioned by the Field Managers, they say, ""This is what Ron wants"" putting it on the CEO of the company who probably has no idea this is even being asked of the field. Long work hours, expectation to be available everyday during all hours, poor weather policy despite having Experts in the field in very cheap Ford Transits. Coaches are an absolute joke there, wasting all their time on Zoom calls talking about their own lives instead of building strategy to drive business. Company acts as if they are living in the values but it's bogus. This is a cell phone store on wheels, there's no flexibility, the start up culture is dead. The senior leaders act like we are doing ""great work"" but the reality is that the business model is based on screwing people over and selling them something they probably don't need anyway. 

When the company does come up with something new, they refer to it as ""solving the puzzle"" basically a way of saying that they don't have the answers and they want YOU to come up with all of them: they won't give you credit, they won't pay you extra for those ideas. They will come to expect it of you. Lots of great leaders are starting to exit the company because they can see through the lies and deception. They only look out to help their people! They constantly get poor reviews from employees and managers. When people exit the company, they send emails to the entire organization expressing their disgust with the treatment and the company ignores it.

Waste of time, total toxic environment, cursing from managers, vulgarity from HR partners. It's pretty disgusting to hear some of it.",1,None,1,1,2,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW44942798.htm
37,27-Feb-21,Former Employee,Expert,"Manchester, England, England",UK,"""Hold your nose - your about to get a whiff of bull!""",Salary is the only saving grace,"Probably one of the worst managed companies I’ve ever dealt with. No respect for staff, don’t stand by their own values. Consistently lie and when questioned about it they ignore and act dumb. Complaints against managers aren’t managed correctly. HR ignore what you ask them to do. Threats made by management. Delusional higher management who should win an Oscar for their ‘crying’ performance on a company wide conference call. Don’t have a clue at all. Constantly feel like you’ll lose your job and now turning it in to micro management when originally told you’d manage your own day and jobs.",1,1,1,1,1,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW43190359.htm
38,28-Mar-21,Former Employee,Expert,"Portland, OR",MW,"""Believe the negative reviews""",Attracted by freedom to create experiences,Actually just a high pressure sales job selling extra lines of AT&T service,1,3,1,1,3,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW44674953.htm
39,19-Apr-21,Former Employee,Field Expert,"Sevenoaks, England, England",UK,"""scam""",4 days a week shift but forced to work weekends,"commission, targets, stress, 30 mins break, 12 hour drives, can't express how you truly feel. no job security.",1,1,1,1,1,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW45708084.htm
40,24-Mar-21,Current Employee,Anonymous Employee,None,,"""Not for the mentally weak""","Digital Community
Kind People 
Educated consistently","Digital Community
Frequent External Leadership Hires
Turnover",3,2,3,4,5,3,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW44518588.htm
41,24-Feb-21,Current Employee,Anonymous Employee,None,,"""Becoming a Company From a Startup""","-Still nimble to adapt and change as needed
-Kind people to work with everyday
-Busy and the work is fulfilling","-Systems and Departments not scaled to meet business size
-High level of turnover due to burnout",4,4,4,4,4,4,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW43025586.htm
42,20-Feb-21,Current Employee,Expert,None,,"""Not Who They Say They Are""",Great opportunity to network and go against the mundane,"Micromanaging for a job that should be independent work. Heavily influenced by sales despite advertisement as a ""service"". Sneaky and unkind personalities are usually promoted",3,1,2,2,4,2,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW42831090.htm
43,13-Mar-21,Current Employee,Field Expert,None,,"""Great but changes are fast""","4 day working week, dynamic teams, hours availability, structure, on the field","Lack of communication, changes made without knowledge, sense of being policed, progression opportunities",4,5,4,2,4,5,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW43937541.htm
44,6-Feb-21,Current Employee,Field Expert,"Philadelphia, PA",E,"""Identity Crisis""","Enjoy was founded as a customer service company that is attempting to pivot into a sales driven company. In both cases, the underlying element of mobile retail remains novel and shows promise. In its current state, however, the sales commission is pitiful.","Primary partner, AT&T, is morally corrupt and drives a toxic sales culture. The majority of the recipients of your service did not request and/ or are not expecting it, making it a very abrasive sale.",3,2,3,2,2,3,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW42067710.htm
45,8-Mar-21,Current Employee,Sales Expert,"Los Angeles, CA",W,"""good not great""","flexible schedule
good for people who like to work solo","no upward mobility
managers have favorites, if you want to move up, be their favorite",3,5,5,2,4,4,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW43688663.htm
